Feature,Importance,Normalized_importance,Cumulative Importance
F051501C,1,3.2006145179874536e-05,0.9993918832415832
F061402C,1,3.2006145179874536e-05,0.9994238893867631
F052401C,1,3.2006145179874536e-05,0.9994558955319429
F040505C,1,3.2006145179874536e-05,0.9994879016771228
F050504C,1,3.2006145179874536e-05,0.9995199078223026
F090101C,1,3.2006145179874536e-05,0.9995519139674824
F051601C,1,3.2006145179874536e-05,0.9995839201126623
F090701C,1,3.2006145179874536e-05,0.9996159262578421
F092201C,1,3.2006145179874536e-05,0.999647932403022
F090201C,1,3.2006145179874536e-05,0.9996799385482018
F090202C,1,3.2006145179874536e-05,0.9997119446933816
F092601C,1,3.2006145179874536e-05,0.9997439508385615
F090802C,1,3.2006145179874536e-05,0.9997759569837413
F090301C,1,3.2006145179874536e-05,0.9998079631289212
F090702C,1,3.2006145179874536e-05,0.999839969274101
F090502C,1,3.2006145179874536e-05,0.9998719754192809
F090402C,1,3.2006145179874536e-05,0.9999039815644607
F090801C,1,3.2006145179874536e-05,0.9999359877096405
F050404C,1,3.2006145179874536e-05,0.9999679938548204
F090901C,1,3.2006145179874536e-05,1.0000000000000002
F050104C,0,0.0,1.0000000000000002
F100203C,0,0.0,1.0000000000000002
F052901C,0,0.0,1.0000000000000002
F041205C,0,0.0,1.0000000000000002
F100103C,0,0.0,1.0000000000000002
F090302C,0,0.0,1.0000000000000002
F100303C,0,0.0,1.0000000000000002
F053004C,0,0.0,1.0000000000000002
F040205C,0,0.0,1.0000000000000002
F053104C,0,0.0,1.0000000000000002
F052301C,0,0.0,1.0000000000000002
F040905C,0,0.0,1.0000000000000002
F100603C,0,0.0,1.0000000000000002
F041805C,0,0.0,1.0000000000000002
F090102C,0,0.0,1.0000000000000002
F050304C,0,0.0,1.0000000000000002
F041705C,0,0.0,1.0000000000000002
F051301C,0,0.0,1.0000000000000002
F041005C,0,0.0,1.0000000000000002
F090401C,0,0.0,1.0000000000000002
F041505C,0,0.0,1.0000000000000002
F082702A,0,0.0,1.0000000000000002
F050601C,0,0.0,1.0000000000000002
F080603A,0,0.0,1.0000000000000002
F020109,0,0.0,1.0000000000000002
F090103C,0,0.0,1.0000000000000002
F041405C,0,0.0,1.0000000000000002
